Study ID,Young,Old,Healthy,Sedentary,Untrained,Trained,Diseased,Overweight,Obese
5505,false,true,true,true,false,false,false,false,false
4603,true,false,false,false,false,false,false,false,true
3856,true,false,false,true,true,false,false,false,false
6046,true,false,true,true,false,false,false,true,false
5113,true,false,true,false,false,false,false,false,false
20613,true,false,false,false,true,false,false,true,false
19503,false,true,false,false,true,false,true,false,false
8161,true,false,true,false,false,false,false,false,false
30558,true,false,true,false,false,false,false,false,false
3139,true,false,true,true,false,false,false,true,false
6508,false,true,false,false,false,false,true,false,false
1501,false,true,false,false,false,false,true,false,false
17457,true,false,false,false,false,true,false,false,false
3422,true,false,true,false,true,false,false,false,false
21540,true,false,true,false,true,false,false,false,false
3690,true,false,false,false,true,false,false,false,false
5182,true,false,false,false,true,false,false,false,false
3343,false,true,true,false,false,true,false,false,false
5751,true,false,false,false,false,false,false,false,false
4530,true,false,true,true,false,false,false,false,false
4791,true,false,true,false,false,false,false,false,false
6687,true,false,false,false,true,false,false,false,false
7138,true,false,true,false,true,false,false,false,false
5083,false,true,true,false,false,false,false,false,false
6956,true,false,true,false,false,false,false,false,false
8349,false,true,true,true,false,false,false,false,false
12162,false,true,false,false,false,false,true,false,false
25284,true,false,false,false,false,false,false,false,false
3718,false,true,true,true,false,false,false,false,false
4433,false,true,true,true,false,false,false,true,true
6140,true,false,true,false,true,false,false,false,false
2556,true,false,true,true,false,false,false,false,false
6334,true,false,true,false,true,false,false,false,false
6966,true,false,false,false,false,false,false,false,false
731,false,true,false,false,false,false,true,false,false
6886,true,false,true,false,false,false,false,false,false
4726,true,false,false,false,false,false,false,false,true
7878,true,false,false,false,false,false,false,false,true
7427,true,false,true,false,false,false,false,true,false
6460,false,true,true,false,false,false,false,false,false
2029,true,true,false,false,true,false,false,false,false
8459,true,false,true,true,false,false,false,false,false
7563,true,false,false,true,false,false,false,true,true
7196,true,true,false,false,false,false,false,false,true
5757,true,true,false,false,false,false,true,false,false
4984,true,false,false,false,false,false,false,false,false
6844,true,false,true,false,false,false,false,false,false
22662,true,false,true,false,false,true,false,false,false
4285,false,true,false,false,false,false,true,false,true
7734,true,false,true,false,false,false,false,false,false
6008,true,false,true,false,false,false,false,false,true
96,false,true,false,false,false,false,true,false,true
8286,true,false,true,false,false,false,false,false,false
3868,true,false,false,false,false,false,true,false,false
17502,true,true,false,false,false,false,true,false,true
6071,false,true,false,true,true,false,true,false,false
4504,true,false,true,false,false,false,false,false,false
5840,true,false,true,false,true,false,false,false,false
4559,false,true,false,false,false,false,true,false,false
2602,false,true,false,false,false,false,true,false,false
7992,true,false,true,true,true,false,false,false,false
7833,true,false,true,false,false,false,false,false,true
5669,true,true,false,true,false,false,true,false,false
6471,true,false,false,false,false,false,true,false,false
27298,true,false,true,false,false,false,false,false,false
8427,true,false,true,true,false,false,false,false,false
6415,true,false,true,true,false,false,false,false,false
2262,true,false,false,false,false,false,false,false,false
3541,true,false,true,false,false,false,false,false,false
6293,true,false,true,false,true,false,false,false,false
687,false,true,false,false,false,false,true,false,false
8508,true,true,false,false,false,false,true,false,false
964,false,true,false,false,false,false,true,false,false
5917,true,false,false,false,false,false,true,false,false
18582,true,false,false,false,false,false,true,false,false
7242,true,false,false,false,false,false,false,false,true
16992,true,false,false,false,false,false,false,false,false
5214,true,false,false,false,false,false,false,false,true
4185,true,false,true,true,false,false,false,false,false
24494,true,true,false,false,false,false,true,false,false
662,false,true,false,false,false,false,false,false,true
9474,true,false,true,true,false,false,false,false,false
4831,true,true,false,false,false,false,true,false,false
19530,true,true,false,true,false,false,true,false,true
7474,true,false,true,false,false,false,false,false,false
6064,true,true,false,false,false,false,true,false,false
5315,false,true,false,false,false,false,true,false,false
4649,false,true,false,false,false,false,true,false,false
4577,true,true,false,true,false,false,true,false,false
8530,true,false,true,true,false,false,false,false,false
4536,true,false,false,false,false,false,true,false,false
8112,true,true,false,false,false,false,true,false,false
5421,true,false,true,false,false,false,true,false,false
2648,true,true,false,false,false,false,true,false,false
3594,true,false,true,true,false,false,false,false,false
6487,true,false,false,true,false,false,false,false,false
6329,true,false,true,true,false,false,false,false,false
4214,true,false,true,false,true,false,false,false,false
10122,false,true,true,false,false,false,true,false,false
14895,false,true,false,false,false,false,true,false,false
7475,true,false,true,true,false,false,false,false,false
2886,true,false,true,false,true,false,false,false,false
7410,true,false,true,true,false,false,false,false,false
3088,true,false,true,false,true,false,false,false,false
7666,false,true,false,false,true,false,false,false,false
3523,false,true,true,false,true,false,false,false,false
7253,false,true,true,false,true,false,false,false,false
8911,true,false,true,false,false,false,false,false,false
18170,false,true,true,false,false,false,false,false,false
173,false,true,false,false,false,false,true,false,false
7856,true,false,false,false,false,false,true,false,false
8439,true,false,true,false,false,false,false,false,false
7244,false,true,true,true,false,false,false,false,false
8606,true,false,true,false,true,false,false,true,true
4651,true,false,true,false,false,false,false,false,false
29600,false,true,false,false,true,false,false,true,true
6845,false,true,false,false,false,false,true,true,false
4845,true,true,true,false,false,false,true,false,false
